date,price,bid,ask,vol,dollar_vol
2016-10-10,95.02,95.0,95.01,3126.0,297032.51999999996
2016-10-11,93.91,93.87,93.91,1300.0,122083.0
2016-10-12,93.9,93.91,93.93,2623.0,246299.7
2016-10-13,93.57,93.58,93.6,2881.0,269575.17
2016-10-14,93.6,93.58,93.59,2619.0,245138.4
2016-10-15,,,,,
2016-10-16,,,,,
2016-10-17,93.38,93.28,93.42,1500.0,140070.0
2016-10-18,93.81,93.81,93.82,3669.0,344188.89
2016-10-19,94.16,94.09,94.22,14885.0,1401571.5999999999
2016-10-20,94.02,94.03,94.04,4912.0,461826.24
2016-10-21,93.76,93.73,93.74,6743.0,632223.68
2016-10-22,,,,,
2016-10-23,,,,,
2016-10-24,93.93,93.92,93.93,1333.0,125208.69
2016-10-25,93.83,93.82,93.83,3040.0,285243.2
2016-10-26,93.94,93.93,93.94,647.0,60779.18
2016-10-27,93.84,93.84,93.86,2861.0,268476.24
2016-10-28,93.47,93.46,93.47,2611.0,244050.16999999998
2016-10-29,,,,,
2016-10-30,,,,,
2016-10-31,93.53,93.54,93.55,3846.0,359716.38
2016-11-01,93.0,93.02,93.04,4498.0,418314.0
2016-11-02,92.51,92.48,92.49,8119.0,751088.6900000001
2016-11-03,92.26,92.29,92.32,42489.0,3920035.14
2016-11-04,92.1,92.1,92.11,1917.0,176555.69999999998
2016-11-05,,,,,
2016-11-06,,,,,
2016-11-07,94.11,94.11,94.13,3436.0,323361.96
2016-11-08,94.45,94.45,94.47,1284.0,121273.8
2016-11-09,96.07,96.05,96.07,3329.0,319817.02999999997
2016-11-10,97.09,97.11,97.12,4400.0,427196.0
2016-11-11,96.93,96.89,96.9,9858.0,955535.9400000001
2016-11-12,,,,,
2016-11-13,,,,,
2016-11-14,97.5998,97.51,97.66,194369.0,18970375.5262
2016-11-15,98.37,98.35,98.36,11383.0,1119745.71
2016-11-16,97.76,97.66,97.8,5378.0,525753.28
2016-11-17,98.07,98.05,98.06,11572.0,1134866.04
2016-11-18,97.94,97.94,97.96,2168.0,212333.91999999998
2016-11-19,,,,,
2016-11-20,,,,,
2016-11-21,98.62,98.61,98.62,8045.0,793397.9
2016-11-22,98.84,98.83,98.84,5012.0,495386.08
2016-11-23,99.13,99.04,99.17,5500.0,545215.0
2016-11-24,,,,,
2016-11-25,99.51,99.51,99.52,5869.0,584024.1900000001
2016-11-26,,,,,
2016-11-27,,,,,
2016-11-28,98.97,98.98,98.99,5830.0,576995.1
2016-11-29,98.97,98.98,98.99,77629.0,7682942.13
2016-11-30,99.3922,99.36,99.57,250000.0,24848050.0
2016-12-01,99.6618,99.09,100.32,451300.0,44977370.339999996
2016-12-02,99.57,99.56,99.65,2301.0,229110.56999999998
2016-12-03,,,,,
2016-12-04,,,,,
2016-12-05,100.14,100.13,100.14,6171.0,617963.9400000001
2016-12-06,100.63,100.61,100.62,11257.0,1132791.91
2016-12-07,102.02,101.99,102.0,34127.0,3481636.54
2016-12-08,102.31299999999999,102.3,102.48,147000.0,15040010.999999998
2016-12-09,102.815,102.74,102.91,117000.0,12029355.0
2016-12-10,,,,,
2016-12-11,,,,,
2016-12-12,102.76100000000001,102.63,102.79,107000.0,10995427.000000002
2016-12-13,103.307,103.27,103.46,136000.0,14049752.0
2016-12-14,102.228,102.24,102.51,125000.0,12778500.0
2016-12-15,102.756,102.73,102.91,146000.0,15002376.0
2016-12-16,102.57,102.58,102.6,7222.0,740760.5399999999
2016-12-17,,,,,
2016-12-18,,,,,
2016-12-19,102.69,102.71,102.73,1800.0,184842.0
2016-12-20,103.132,103.03,103.19,358000.0,36921256.0
2016-12-21,102.32,102.32,102.34,3031.0,310131.92
2016-12-22,102.17,102.17,102.19,22671.0,2316296.07
2016-12-23,102.32,102.32,102.33,1721.0,176092.72
2016-12-24,,,,,
2016-12-25,,,,,
2016-12-26,,,,,
2016-12-27,102.49,102.48,102.49,1859.0,190528.91
2016-12-28,101.63,101.61,101.62,3776.0,383754.88
2016-12-29,101.53,101.54,101.55,25426.0,2581501.7800000003
2016-12-30,101.38,101.37,101.38,12476.0,1264816.88
2016-12-31,,,,,
2017-01-01,,,,,
2017-01-02,,,,,
2017-01-03,101.87799999999999,102.14,102.33,200267.0,20402801.425999995
2017-01-04,102.811,102.67,102.84,117573.0,12087797.703000002
2017-01-05,102.42,102.4,102.42,33529.0,3434040.18
2017-01-06,102.64,102.59,102.6,3266.0,335222.24
2017-01-07,,,,,
2017-01-08,,,,,
2017-01-09,101.92,101.91,101.93,1100.0,112112.0
2017-01-10,102.01,101.97,101.99,42464.0,4331752.640000001
2017-01-11,102.32,102.32,102.35,22764.0,2329212.48
2017-01-12,102.03,102.0,102.02,2330.0,237729.9
2017-01-13,102.1853,102.19,102.4,1016600.0,103881575.98
2017-01-14,,,,,
2017-01-15,,,,,
2017-01-16,,,,,
2017-01-17,101.68,101.69,101.7,1379.0,140216.72
2017-01-18,101.89,101.87,101.88,1223.0,124611.47
2017-01-19,101.3865,101.31,101.48,49072.0,4975238.328
2017-01-20,101.7,101.7,101.72,4836.0,491821.2
2017-01-21,,,,,
2017-01-22,,,,,
2017-01-23,101.27,101.28,101.29,4339.0,439410.52999999997
2017-01-24,102.1,102.06,102.08,595.0,60749.5
2017-01-25,102.97,102.98,102.99,1512.0,155690.63999999998
2017-01-26,102.89,102.84,102.87,1741.0,179131.49
2017-01-27,102.49,102.48,102.49,1414.0,144920.86
2017-01-28,,,,,
2017-01-29,,,,,
2017-01-30,101.86,101.86,101.87,1801.0,183449.86
